0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,GasterBlaster,1,0,0,191,306,0,0.3,0.1
0,GasterBlaster,1,0,0,321,166,90,0.3,0.1
0,GasterBlaster,1,0,0,449,306,180,0.3,0.1
0,GasterBlaster,1,0,0,321,446,270,0.3,0.1
0.5,GasterBlaster,1,0,0,191,176,45,0.3,0.1
0,GasterBlaster,1,0,0,451,176,135,0.3,0.1
0,GasterBlaster,1,0,0,451,436,225,0.3,0.1
0,GasterBlaster,1,0,0,191,436,315,0.3,0.1
0.7,GasterBlaster,1,0,0,191,246,0,0.3,0.1
0,GasterBlaster,1,0,0,259,166,90,0.3,0.1
0,GasterBlaster,1,0,0,449,366,180,0.3,0.1
0,GasterBlaster,1,0,0,379,446,270,0.3,0.1
1.5,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.6666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,TLResume,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneVRepeat,128,341,45,0,350,4,16,
0,BoneVRepeat,512,341,45,2,350,4,16,
0.1,GasterBlaster,0,0,0,320,215,90,0.1,1.6
0.06,GasterBlaster,0,0,0,330,215,90,0,1.6
0.06,GasterBlaster,0,0,0,310,215,90,0,1.5
0,GasterBlaster,0,0,0,340,215,90,0,1.5
0.06,GasterBlaster,0,0,0,300,215,90,0,1.4
0,GasterBlaster,0,0,0,350,215,90,0,1.4
0.06,GasterBlaster,0,0,0,290,215,90,0,1.3
0,GasterBlaster,0,0,0,360,215,90,0,1.3
0.06,GasterBlaster,0,0,0,280,215,90,0,1.2
0,GasterBlaster,0,0,0,370,215,90,0,1.2
0.06,GasterBlaster,0,0,0,270,215,90,0,1.1
0,GasterBlaster,0,0,0,380,215,90,0,1.1
0.06,GasterBlaster,0,0,0,260,215,90,0,1
0,GasterBlaster,0,0,0,390,215,90,0,1
0.06,GasterBlaster,0,0,0,250,215,90,0,0.9
0,GasterBlaster,0,0,0,400,215,90,0,0.9
0.06,GasterBlaster,0,0,0,240,215,90,0,0.8
0,GasterBlaster,0,0,0,410,215,90,0,0.8
0.06,GasterBlaster,0,0,0,230,215,90,0,0.7
0,GasterBlaster,0,0,0,420,215,90,0,0.7
0.06,GasterBlaster,0,0,0,220,215,90,0,0.6
0,GasterBlaster,0,0,0,430,215,90,0,0.6
0.06,GasterBlaster,0,0,0,210,215,90,0,0.5
0,GasterBlaster,0,0,0,440,215,90,0,0.5
0.06,GasterBlaster,0,0,0,200,215,90,0,0.4
0,GasterBlaster,0,0,0,450,215,90,0,0.4
0.06,GasterBlaster,0,0,0,190,215,90,0,0.3
0,GasterBlaster,0,0,0,460,215,90,0,0.3
0.06,GasterBlaster,0,0,0,180,215,90,0,0.2
0,GasterBlaster,0,0,0,470,215,90,0,0.2
0.06,GasterBlaster,0,0,0,170,215,90,0,0.1
0,GasterBlaster,0,0,0,480,215,90,0,0.1
0.06,GasterBlaster,0,0,0,160,215,90,0,0
0,GasterBlaster,0,0,0,490,215,90,0,0
0.2,GasterBlaster,1,0,0,70,365,0,0.3,0.1
0,GasterBlaster,1,0,0,596,365,180,0.3,0.1
1,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.6666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,TLResume,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0.2,SansBody,HandLeft,,,,,,,
0.2,SansSlam,2,,,,,,,
0,GasterBlaster,1,0,0,325,166,90,0.1,0
0,BoneStab,2,29,0.4,0,,,,
0.3,SansBody,HandDown,,,,,,,
0.2,SansSlam,1,,,,,,,
0,GasterBlaster,1,0,0,166,315,0,0.1,0
0,BoneStab,1,29,0.4,0,,,,
0.3,SansBody,HandRight,,,,,,,
0.2,SansSlam,0,,,,,,,
0,GasterBlaster,1,0,0,315,166,90,0.1,0
0,BoneStab,0,29,0.4,0,,,,
0.3,SansBody,HandUp,,,,,,,
0.2,SansSlam,3,,,,,,,
0,GasterBlaster,1,0,0,166,325,0,0.1,0
0,BoneStab,3,29,0.4,0,,,,
0,SansAnimation,Idle,,,,,,,
0.5,HeartMode,0,,,,,,,
0.3,GasterBlaster,1,0,0,170,300,0,0.3,0.1
0,GasterBlaster,1,0,0,170,350,0,0.3,0.1
0,GasterBlaster,1,0,0,300,170,90,0.3,0.1
0,GasterBlaster,1,0,0,350,170,90,0.3,0.1
0.7,GasterBlaster,1,0,0,191,246,0,0.3,0.1
0,GasterBlaster,1,0,0,259,166,90,0.3,0.1
0,GasterBlaster,1,0,0,449,366,180,0.3,0.1
0,GasterBlaster,1,0,0,379,446,270,0.3,0.1
0,SansHead,Default,,,,,,,
1.2,SansBody,HandDown,,,,,,,
0.2,SansSlam,1,,,,,,,
0.2,BoneStab,1,33,0.4,0.1,,,,
0,BoneStab,3,100,0.4,0.1,,,,
0.6,SansBody,HandUp,,,,,,,
0.2,SansSlam,3,,,,,,,
0,BoneStab,3,33,0.4,0.1,,,,
0,BoneStab,1,100,0.4,0.1,,,,
0.5,SansBody,HandLeft,,,,,,,
0.2,SansSlam,2,,,,,,,
0.3,SansBody,HandRight,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,
0,SansSlam,0,,,,,,,
